date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,m2_usd_m,cse_net_usd_m,trade_balance_usd_m
2016-03-01,6221.186356293166,949.011635083698,1566.028121829301,675.7404718166489,330.84573324,145.1335,28982.963368333298,-2.401952734517458,-617.016486745603
2016-04-01,6068.525257617199,710.3897803653814,1460.8906891889208,578.0044486161236,233.95667988,145.2019,29214.915226336092,-6.992528914842932,-750.5009088235394
2016-05-01,5645.141094794298,780.1272098015405,1589.8369421072923,597.2366386830122,214.53048816,145.9081,29066.809874420953,-17.77449497057571,-809.7097323057518
2016-06-01,5292.27,900.5619459385096,1675.802035776332,644.480992933533,202.51071431999995,145.8609,29552.007183939837,-3.632252005446034,-775.2400898378226
2016-07-01,6489.187703676498,891.5439655383419,1432.798930567194,572.7679136535048,359.17094963999995,145.401,30224.721502961947,10.098365652837074,-541.2549650288521
2016-08-01,6598.941049091874,866.3099109246001,1649.0886004680874,618.2873505229056,319.60314432,145.2035,30542.233403460665,6.72736667415591,-782.7786895434873
2016-09-01,6455.718499925342,897.8775700778094,1508.2611045601425,577.8753625923472,254.77082436,145.4581,31293.824305555896,5.055995843146128,-610.3835344823331
2016-10-01,6053.842609846051,855.0431213174927,1723.5223677947777,607.532058283979,258.0648531599999,146.76,31457.920672239852,8.263228902220327,-868.479246477285
2016-11-01,5644.133101910387,809.6505412056308,1732.0802257051048,567.3784015429475,286.88417387999993,147.81,31684.15532827224,2.041111139064917,-922.429684499474
2016-12-01,6019.035611001512,859.0316990634382,1816.0953106251125,684.6037351582894,385.66043124,148.8152,32413.08060771292,27.79739731246515,-957.0636115616744
2017-01-01,5453.161533649116,864.7176173932837,1798.9439527053685,670.2874237389387,406.80882336,149.8342,32475.970718158067,-10.988898759939438,-934.2263353120848
2017-02-01,5634.658678738561,867.8069877581088,1611.159888432676,598.086845291198,366.300411942,150.8721,32817.95257759149,59.56740481362763,-743.3529006745673
2017-03-01,5117.259154753076,1041.818219027803,1869.3224849354765,643.058386094087,348.791831976,151.5048,33637.239286488875,36.743060956141385,-827.5042659076735
2017-04-01,5048.0818935876005,794.6621201873861,1603.8822114429377,487.94389290657216,297.185936974,151.862,33891.321839657794,71.09462472106453,-809.2200912555516
2017-05-01,6759.704093553758,841.2448575017796,1724.7493989305217,600.7025576092499,226.050028666,152.3909,34217.14110974737,34.66303835557517,-883.5045414287421
2017-06-01,6959.025226455214,987.3032456286518,1540.9314766078398,590.8851105181104,228.757636626,152.8082,34562.39323256475,38.23533438037335,-553.6282309791881
2017-07-01,6710.485696665525,1015.1819586445046,1591.1295797476996,629.2901463776334,381.071711532,153.5875,34944.267918925696,23.43042304561097,-575.947621103195
2017-08-01,7693.548007249217,1000.642691482216,1856.9005983045893,599.8838418158387,354.08094012799995,153.0978,35422.04080438883,75.53302821188832,-856.2579068223735
2017-09-01,7279.835590729757,1011.0255494559292,1666.6539924369974,537.7758451288071,269.04906850199995,152.8125,36012.429372179366,-62.15140638866684,-655.6284429810682
2017-10-01,7500.7921236637585,975.579814448642,1727.2388159062466,546.2579003477305,282.68354365399995,153.4905,36044.6160065135,12.8089110817792,-751.6590014576046
2017-11-01,7335.117235752753,940.93201101918,1940.383346169578,588.3876285496235,310.653504786,153.5925,36134.23489087162,-11.446133917611398,-999.451335150398
2017-12-01,7958.65303040954,1019.5029136734678,2048.499456865169,671.3964371688033,453.498369936,153.1085,37001.951045573565,11.094075232836587,-1028.9965431917012
2018-01-01,7669.98,965.3701425744972,2014.4907176540169,729.3548966460536,448.4699049600001,153.7452,37328.0836288515,36.84711468572343,-1049.1205750795198
2018-02-01,7922.369345490189,915.650345321389,1977.993103576892,571.5002263413448,442.26441072000006,154.7737,37646.55235921413,17.62064212157992,-1062.3427582555032
2018-03-01,7319.749709742925,1107.6632607514034,1978.5218342628232,677.6961157626178,438.06734928,155.6386,38521.86244348317,-35.68808412847284,-870.8585735114198
2018-04-01,9935.768813397091,795.0546716824356,1793.6278037230777,541.1780994671594,338.67245016000004,156.1857,38695.67796615375,28.440075615858028,-998.573132040642
2018-05-01,8808.916585622243,923.7576297403432,1856.95795512956,580.4019949922705,243.01286064,157.7527,38336.74320054148,5.497714498099782,-933.2003253892163
2018-06-01,9267.017122111823,1024.3682844569344,1819.4798365092515,523.6405184273614,275.6020291200001,158.9619,38505.126971979196,0.3440872527689578,-795.1115520523169
2018-07-01,8429.671933126869,1073.1643006891263,1754.4651588528998,619.2971944301521,408.87374616000005,159.3548,38660.68799081452,-2.7141723529615227,-681.3008581637735
2018-08-01,8584.53782202296,1037.3606140149984,1887.11736795169,534.1970182243219,376.0818573600001,160.3217,38944.93865770367,-6.097873012514846,-849.7567539366917
