date,horizon,ARIMA,MS-VAR,MS-VECM,Naive,VECM,XGBoost
2024-10-01,3,1.3182567385502274e-12,1.3182567385502274e-12,0.9999999999934087,1.3182567385502274e-12,1.3182567385502274e-12,1.3182567385502274e-12
2024-11-01,3,1.3182567385508013e-12,1.3182567385508013e-12,0.9999999999934087,1.3182567385508013e-12,1.3182567385508013e-12,1.3182567385508013e-12
2024-12-01,3,1.3182567385499747e-12,1.3182567385499747e-12,0.9999999999934087,1.3182567385499747e-12,1.3182567385499747e-12,1.3182567385499747e-12
2025-01-01,3,1.578944808664514e-10,1.1763284103574888e-10,0.9999999991727045,2.4977460619639205e-10,1.318256738326918e-12,3.00675360235773e-10
2025-02-01,3,6.100085773153993e-11,5.4128803525138745e-11,0.999999999380019,2.121026699961792e-10,1.3182567383832508e-12,2.914303566510414e-10
2025-03-01,3,1.235100088882006e-09,1.2555309237510208e-09,0.9999999738356955,9.32767790470476e-09,1.3182567324060675e-12,1.4344677288711337e-08
2025-04-01,3,6.479220476265716e-10,1.1620846629978643e-09,0.9999999596462735,1.2890703189655639e-08,0.0,2.56530166361622e-08
2025-05-01,3,8.005851447107225e-10,1.4275304744177385e-09,0.9999999517606322,1.5458730968725356e-08,0.0,3.055252124548156e-08
2025-06-01,3,9.871279473737217e-10,1.7500059691628007e-09,0.9999999424339204,1.850470203757943e-08,0.0,3.6324243637933755e-08
2020-07-01,6,0.2,0.2,0.0,0.2,0.2,0.2
2020-08-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-09-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-10-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-11-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2020-12-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-01-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-02-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-03-01,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
