model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates,varset,split_label,train_end,valid_end
Naive,test,1,all,935.851255853071,1178.9472483420434,20.469342901823072,24.702506698324086,3.135316682472718,1864.1568114086267,761.484488425461,-9.881838123669574,0.4444444444444444,0.5277777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,test,3,all,1149.5179225197378,1393.246114490467,24.45020384914115,30.04592905487524,3.851149097398188,2287.527777777778,950.4679424665733,-10.969814561804505,0.3333333333333333,0.4166666666666667,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,test,6,all,1458.130821627191,1737.3507013334627,29.528141662723296,37.36940139805927,4.885073201198056,2904.753575992684,1238.0416338197026,-13.07510835501349,0.25,0.2777777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,test,12,all,2073.634397619875,2373.677795470018,39.089980503864865,51.6830465925767,6.9471515687398915,4136.621839089164,1809.591802208268,-18.153005496704502,0.1111111111111111,0.1111111111111111,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,validation,1,all,1029.3448030071818,1328.0723215695268,35.694347746002094,26.73888522198556,3.4485415419389054,1042.1957910327405,821.9659196694427,-10.690235890502956,0.5142857142857142,0.6571428571428571,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,validation,3,all,1390.2866715697337,1707.013215800357,48.61986885022182,34.831498742895796,4.657779713955331,1390.2866715697337,1152.4590856499628,-13.017529583601481,0.3939393939393939,0.5151515151515151,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,validation,6,all,1973.2849965278563,2253.189563182109,72.20971611557052,48.05586342431016,6.6109580237163765,1973.2849965278563,1719.651329170644,-17.396245151706747,0.26666666666666666,0.3,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
Naive,validation,12,all,3470.6749796808904,3580.471989534998,146.85603494186387,81.09745706488623,11.627558434288817,3470.6749796808904,3190.230644024878,-33.11676095198656,0.0,0.0,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,test,1,all,956.8061834190105,1194.5289114704553,21.642132461299944,26.192983508917564,3.205520503396812,1892.3366781255863,782.3888174252925,-10.295799669976427,0.3611111111111111,0.5277777777777778,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,test,3,all,1160.8433536540085,1404.6477989717114,25.56640417407309,31.444841752444614,3.8890918932745553,2284.4291272506566,967.2705604943278,-11.528629039371264,0.2777777777777778,0.4166666666666667,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,test,6,all,1437.256933170417,1751.4640473027482,29.520587303422978,37.714212595511675,4.815140879905244,2843.652972983847,1237.090907756905,-13.991103827652884,0.25,0.3055555555555556,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,test,12,all,2015.3950835394103,2398.377877081667,37.80874594660573,50.64302292871545,6.752036488356949,4006.1109648448296,1771.1411381488178,-20.00498675331845,0.1111111111111111,0.16666666666666666,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,validation,1,all,1289.6143681793678,1532.197993408865,46.567986935265345,33.98836450051657,4.320504372058131,1298.4011323416198,1056.4855374958267,-12.556502171894998,0.2,0.34285714285714286,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,validation,3,all,1650.7452654299232,1904.495019981951,59.19860702897501,41.49392347956501,5.530375833601345,1650.7452654299232,1401.4837081990984,-15.610100390758278,0.06060606060606061,0.21212121212121213,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,validation,6,all,2243.814506856878,2486.064735628185,82.5400362238198,53.62973378657126,7.517294026933669,2243.814506856878,1990.307676388201,-21.706483872172686,0.03333333333333333,0.2,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
VECM,validation,12,all,3850.2420983736774,3956.3840096881218,162.38193615363093,86.04327504213234,12.8991954726671,3850.2420983736774,3591.489277146466,-44.48223347921225,0.0,0.0,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,test,1,all,475.7449645996094,640.5828291390734,11.819138413645256,13.064275287313777,1.5938549152791128,900.8351440429688,466.4312168067368,-928.9466861074696,0.027777777777777776,0.05555555555555555,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,test,3,all,1004.4844122992622,1281.6746375973403,23.422253804516707,28.94703746419804,3.3652535223611793,1940.1551106770833,995.253780937222,-3662.297370731716,0.0,0.0,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,test,6,all,1411.9308505588108,1887.5589751794216,29.536502043396602,39.821507142156996,4.730292685475598,2787.643025716146,1403.334073750756,-7823.423994998144,0.05555555555555555,0.05555555555555555,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,test,12,all,2099.264309353299,2664.1984207881014,39.18468767169716,55.468616303891004,7.033017660520531,4177.562357584636,2090.9696545570496,-15959.66145127275,0.0,0.027777777777777776,36,full,2023-01-01,2025-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,validation,1,all,1037.3165315782123,1183.4709771766918,37.81890948333689,29.183451210165266,3.4752486638459157,1065.8057535995783,1031.3325074773263,-6336.134676858972,0.02857142857142857,0.02857142857142857,35,full,2020-02-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,validation,3,all,1739.356163711045,2073.537463733615,64.1921771960506,42.48340257163054,5.82724269774467,1754.8018016984042,1733.3599670638973,-19045.16709997087,0.0,0.0,33,full,2020-04-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,validation,6,all,2548.7584704212277,2936.9688719873816,98.602928029711,57.31012600230749,8.538926353869144,2548.7584704212277,2542.85108614238,-39759.7103752081,0.0,0.0,30,full,2020-07-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
XGBoost,validation,12,all,4338.980696339827,4467.905662624213,192.36690360600977,91.76130975926914,14.536582044505153,4338.980696339827,4333.317546073806,-102042.92252998718,0.0,0.0,24,full,2021-01-01,2022-12-01,,parsimonious,baseline,2019-12-01,2022-12-01
ARIMA,test,1,all,1105.2029582356054,1249.8610855014506,25.25612434659103,29.14215583738342,3.2529717170182066,2159.0893438168073,880.1567375521588,-10.248740068514893,0.25925925925925924,0.3333333333333333,27,full,2023-01-01,2025-03-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,test,3,all,1389.373654238232,1463.8503099751138,31.60431708602205,36.476009415635886,4.089378487388849,2675.7812190735062,994.9770761847877,-9.34143494198544,0.2222222222222222,0.7407407407407407,27,full,2023-01-01,2025-03-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,test,6,all,1610.7785337488547,1833.9665990717344,33.46471993348948,42.29217776746749,4.741045048440836,3194.645459153622,1165.1296689045319,-9.331946120950674,0.37037037037037035,0.7407407407407407,27,full,2023-01-01,2025-03-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,test,12,all,2052.389195311283,2448.621752529004,39.75955813393671,53.42042240283903,6.04084883677818,4087.002557682154,1506.3912683265144,-9.529756959263118,0.5555555555555556,0.6666666666666666,27,full,2023-01-01,2025-03-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,validation,1,all,1365.5277167977074,1549.7345212941673,48.727303861062275,35.98287014989349,4.019192138825642,1369.5304916807956,1101.85615783532,-11.698108595755953,0.17142857142857143,0.34285714285714286,35,full,2020-02-01,2022-12-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,validation,3,all,1713.9046537868055,1921.3437032299137,60.13832696816493,42.98793363695304,5.044578756226809,1713.9046537868055,1313.963865546295,-10.601623119118816,0.21212121212121213,0.6060606060606061,33,full,2020-04-01,2022-12-01,,bop,baseline,2019-12-01,2022-12-01
ARIMA,validation,6,all,1907.6676528467751,2163.271210299771,68.58377287803374,47.36307445707043,5.614886273999792,1908.6473135465849,1430.6210272272576,-9.880265607257877,0.3333333333333333,0.5666666666666667,30,full,2020-07-01,2022-12-01,,bop,baseline,2019-12-01,2022-12-01
